GENERAL CONCEPT (GOAL),STRATEGIES,ADAPT TYPE,SOUTHEAST COASTAL CLIMATE HAZARDS,SOUTHWEST CLIMATE HAZARDS,CULTURAL RESOURCE IMPACTS FROM CLIMATE HAZARD(S),ENVIRONMENTAL SETTING / CONTEXT (MACRO-SCALE),ARCHEOLOGY SUBTYPES,CULTURAL LANDSCAPES SUBTYPES,MUSEUM COLLECTIONS SUBTYPES,HISTORIC STRUCTURES SUBTYPE,FEASIBILITY ,NOTE(S),LONGEVITY ,NOTE(S),BEST PRACTICE GUIDANCE,HISTORIC RESOURCE CONSIDERATIONS,(if applicable/known)           TRIBAL CONSIDERATIONS             ,CASE STUDY REFERENCE,EFFECTIVENESS ,NOTE(S),CITATION - NAME,CITATION - LINK,PG #
Direct sunlight prevention,Thermal film for coatings on windows,PROTECT (extrinsic),Increased average temperature,Increased average temperature,,"SE - Coastal, SW - Desert, SW - Mountain",,,,"assembly, material, building",HIGH,Simple installation and low cost,MID,Films and coatings last 50-100 years,"DOE Energy Star, AERC rating system",Avoid reflective or colored coatings; maintain historic glass appearance,,"Charleston, SC",AVE,Moderately improves thermal performance,"“Resilience Guidance for Charleston,” Preservation Society of Charleston, July 2024",,R6.7
,Install automated sprinkler systems,PROTECT (extrinsic),"Increased Wildfire, Increased average temperature","Increased Wildfire, Increased average temperature, Drought",,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"building, larger site",,,,,,,,,,,2021 NPS Planning for Climate Change,,41
Create shade,,PROTECT (extrinsic),Increased average temperature,Increased average temperature,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,,,,,,"A 10 percent citywide increase in surface reflectivity and vegetation, for example, could reduce heat wave deaths by 6-7%.","Consider context of resources, urban or rural.",,,,,,,
Movement control,Limit boat access to reduce wave impact,PROTECT (extrinsic),"Coastal erosion, Inundation",,,SE - Coastal,,,,"larger site, building",,,,,,,,,,,2021 NPS Planning for Climate Change,,41
Remove hazardous trees and debris from cultural sites after storms or high wind events,,PROTECT (extrinsic),"Intensified Wind, Increased Storm Surge frequency & severity",,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"Spatial patterns + views, ecological and natural systems, vegetation",,,,,,,,,,,,,,,32
Revitalize aging museum collections buildings ,"Improve building envelope insultaion values, replace outdated mechanical systems with new energy efficieny systems with N+1 redundancy",PROTECT (extrinsic),"Increased average temperature, Higher relative humidity",Increased average temperature,,"SE - Coastal, SE - Inland",,,"Stored, Exhibited, Records",,LOW,,,,,,,,,,2021 Smithsonian Climate Change Action Plan,,"22, 24"
Movement control,Visitor paths - gravel or other permeable walkways,PROTECT (extrinsic),Coastal erosion,Landslides,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,"larger site, building",MED to HIGH,,,Depends on material used for path,"""Creation of visitor paths using gravel or permeable walkways will help to limit erosion and control movement in sensitive areas. Concrete or tarmac are not reccomended as they shed water and focus its flow rather than allow free drainage, in addition to using unsustainable materials. They also reduce the sensory value (sense of place) of the historic setting.""",,,KCC historic graveyards,,,Climate Change Risk Assessment for Kerry Graveyards,,27
Build soil carbon to hold and slow water,"Minimize excessive vegetation removal, plant areas with exposed soil, utilize plants with deep root systems when maintaining and designing landscapes",ACCLIMATE (intrinsic),"Flooding (precipitation), Increased Storm Surge frequency & severity, Inundation, Coastal erosion","Flash Flooding, Landslides",,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,"ecological and natural systems, land use",,,,"Could be done slowly over time, which might increase feasibility",,Depends on the scale of the intervention,,,,,,,2023 Climate Positive Design Carbon Drawdown Toolkit,,14
Support coastal wetland resilience,"Control burrowing invasive animals, for example, Nutria (Myocastor coypus), that burrow and feed in coastal plain",ACCLIMATE (intrinsic),"Biological community changes, Tidal Flooding",Biological community changes,,SE - Coastal,,ecological and natural systems,,,,,,,"Across the southeastern US, nutria destructively burrow and feed at high densities along the coastal plain, resulting in widespread degradation and conversion of coastal wetlands to open water habitat, this in turn greatly decreases protecgtion of communities from storm surge and high tide events ",Consider if salt marsh is part of historic resource or if it is part of protecting a historic resource,"Consult with THPO and affiliated tribes regarding cultural uses, significance, and management techniques (if applicable with pests)",,,,2023 Invasive Species Threaten the Succes of Climate Change Adaptation Efforts,,7
Protect most scientifically important or historically unique collections,provide segregated storage of type (voucher) specimens; with appropriate environmental controls; inside of tight cabinets and housings,PROTECT (extrinsic),"Increased average temperature, Higher relative humidity, Flooding (precipitation), Intensified Wind, Inundation",,"Deterioration, Destruction, Dissruption","SE - Coastal, SE - Inland",,,"Stored, Exhibited, Type/Voucher Specimens, Records, Natural science",,LOW to MED,,,,,,,,,,,,
Improve vegetation management around museum structures,increase maintenance & inspections: remove vegetation from direct contact with buildings (trim trees; remove vines),TEND / TELL (aphysical),"Biological community changes, Higher relative humidity",Biological community changes,"Deterioration, Destruction","SE - Inland, SE - Coastal, SW - Desert, SW - Mountain",,,"Stored, Exhibited, Type/Voucher Specimens, Records, Paper, Textiles, Furniture, Natural science, Indigenous",,HIGH,"increased pests to collections not previously noted
Assumes vegetation and plantings around building are not part of cultural landscape, requiring protection",,,,,,,,,,,
Modify local environmental conditions to reduce potential for mold,install fans and portable dehumidifiers in collections spaces - have access to/have on hand,PROTECT (extrinsic),"Increased average temperature, Higher relative humidity",,Deterioration,"SE - Coastal, SE - Inland",,,"Stored, Records, Exhibited",,HIGH,assumes site has power and capacity to install additional equipment and personnel to provide appropriate maintenance,,,"plumb dehumidifier condensate lines to exterior or drains
avoid use of  extension cords and that site has appropriate power capacity to support the additional equipment",,,,,,,,
Construct log structures and engineered log-james in place of rip rap,"Log-crib structures reflect the natural environment, provide habitat for native species, and slow the flow of river water.",PROTECT (extrinsic),"Flooding (precipitation), Tidal Flooding, Coastal erosion",Flash Flooding,,"SE - Coastal, SW - Mountain, SE - Inland, SW - Desert",,"ecological and natural systems, built features",,,MED,"Consider if these structures reflect the natural environment being worked on. If logs are not a part of the ecosystem of the area, it may not be a good fit.",MID to LONG,Review to what degree these structures can handle projected event and how that might effect longevity,Review 1910s-1920s construction plans for details.,Consider if material is consistent or cohesive with historic/cultural resources,Consult with THPOs about if there are traditional methods or structures that have been used in project location.,Mount Rainier Log Jams,AVE,,2016 Cultural Resources Climate Change Strategy,,15
Design plantings to include mixed species,Increase resilience through mixed species plantings,ACCLIMATE (intrinsic),"Increased Storm Surge frequency & severity, Biological community changes",Biological community changes,,,,"Spatial patterns + views, land use",,,,Use planting designs that include a mix of species with a range of characteristics that imply resilience to increased storms and droughts.,,Review climate projections and consider plant species that will withstand them. Plants from other planting zones may need to be considered.,,,Consult with THPO or tribal representation (if appropriate) to include culturally-relevant species in planting plans. ,,,,2024 Heritage and Climate Adaptation Guidance for Local Authorities,,9
Preserve open space,,PROTECT (extrinsic),Increased average temperature,Increased average temperature,,"SE - Coastal, SE - Inland, SW - Desert, SW - Mountain",,,,,,,,,,,,,,,,,
Convert hard coastal protections to soft protections (NbS),Remove sea walls and replace with dunes planted with sea grass.,PROTECT (extrinsic),"Tidal Flooding, Coastal erosion",,,SE - Coastal,,"ecological and natural systems, vegetation, built features",,,LOW to MED,Depends on the condition of the wall and the documentation of various things: is it damaging adjacent area by displacing tidal energy? Is it in poor condition?,MID to LONG,"Once established, the shoregrass and dune communities may survive and protect the shoreline for a long time.",Work with marine ecologists during the decision-making process to determine suitablility of this strategy to the site. Work with a coastal engineer to model the effect of soft coastal protection measures to the site to determine if there might be unintended consequences.,"If the sea wall was historic, consider interpretation of historic feature- weigh removal of the feature against protection of other features during decision making.",,Kilmore Graveyard (Co. Kerry),,considered but not tested,2023_CLIMATE CHANGE RISK & ADAPTATION ASSESSMENT OF ,,47
Relocate living collections,Relocate a diverse sample of a living collection to a location secure from climate and invasive hazards.,DISLOCATE (move),"Tidal Flooding, Inundation, Biological community changes, Increased average temperature",,,SE - Coastal,,"ecological and natural systems, vegetation",,,LOW,In general this seems highly complicated and only worth doing in very specific conditions.,,Depends on collection and success of transfer,This depends on the resource type. This case study was focused specifically on fish so working with USGS biologists was critical to success. ,Ensure historic resources are documented in situ prior to any relocation efforts.,Consult wih THPO or tribal representatives prior to relocation of any resource that may have tribal cultural significance.,Native bull trout relocation in Glacier National Park,MIN,Pending ongoing study- report is from 2023,2023 Climate Change Response Strategy,,14
